Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF 250v","C_1812_HandSoldering",33.528000,6.858000,0.000000,top
"C2","1uF 250v","C_1812_HandSoldering",33.782000,11.430000,0.000000,top
"C3","0.1uF 250v","C_0805",36.385500,15.951200,270.000000,top
"C5","220pF","C_0805",12.192000,22.606000,0.000000,top
"C6","100pF 250v","C_0805",31.242000,16.002000,90.000000,top
"C7","430pF","C_0805",9.398000,19.558000,90.000000,top
"C9","100uF 16v","C_1210",5.080000,7.112000,90.000000,top
"C10","0.1uF 16v","C_0805",20.167600,20.777200,0.000000,top
"C11","1nF","C_0805",24.130000,19.939000,0.000000,top
"C12","0.1uF 250v","C_0805",31.496000,3.556000,0.000000,top
"C14","47uF 16v","C_1210",12.461240,25.923240,90.000000,top
"C15","560pF 250v","C_0603",27.686000,10.668000,90.000000,top
"C16","100uF 16v","C_1210",2.021840,10.942320,90.000000,top
"C18","0.1uF","C_0805",4.813300,11.442700,90.000000,top
"D1","ES1D","D_SMA",25.209500,4.000500,180.000000,top
"D2","BAT54","D_SOD-323_HandSoldering",12.618720,20.563840,0.000000,top
"L2","60ohm 100Mhz","R_0805",1.513840,6.492240,90.000000,top
"L3","33uH","Choke_SMD_12x12mm_Wurth_WE-PD",13.716000,6.731000,180.000000,top
"L5","60ohm 100Mhz","R_0805",33.566100,15.963900,270.000000,top
"P1","USB_OTG","USB_Micro-B_Wurth_3A_Non-OVAL-Drill",4.572000,18.288000,270.000000,top
"Q1","FDS2672CT","SOIC-8-N",24.130000,11.430000,180.000000,top
"Q26","MMBTA42","SOT-23",9.088120,25.671780,270.000000,top
"R1","1k","R_0805",16.131540,27.625040,0.000000,top
"R2","60.4k","R_0805",11.430000,18.034000,270.000000,top
"R3","N.U.","R_0805",16.624300,20.396200,180.000000,top
"R4","100k","R_0805",6.253480,25.242520,270.000000,top
"R5","0 Ohm","R_0805",15.664180,22.476460,180.000000,top
"R7","2k","R_0805",17.073880,25.029160,90.000000,top
"R8","1k","R_0805",23.253700,17.424400,90.000000,top
"R9","100k","R_0805",15.001240,25.059640,270.000000,top
"R10","0.1 1/2W","R_0805",25.387300,17.297400,90.000000,top
"R12","4.12k","R_0805",9.652000,15.748000,90.000000,top
"R15","634k","R_0805",28.956000,16.002000,90.000000,top
"R16","7.68k","R_0805",30.226000,18.796000,0.000000,top
"U1","UCC3803","SOIC-8-N",16.764000,16.256000,270.000000,top
